,aud_nationwide,log_aud
593,533776,13.18773155
378,5316325,15.48629283
152,179738,12.09925551
492,1382480,14.13938955
180,60981,11.01831762
311,1061913,13.87558256
713,170743,12.04791478
642,48279,10.78475196
518,333347,12.71693927
169,89358,11.40040605
669,2414062,14.69682136
53,257381,12.45831276
529,175367,12.074636199999999
131,609063,13.31967699
494,1305145,14.0818247
570,2675559,14.79966889
806,102223,11.53491198
154,161245,11.99068023
441,126384,11.74708017
871,513375,13.14876185
22,1160935,13.96473627
25,955175,13.76964985
585,1077235,13.88990813
901,96495,11.47724647
211,1202842,14.00019765
812,91430,11.42332893
100,13395400,16.41042192
823,49509,10.80990975
488,1786383,14.39570346
681,1011580,13.82702402
312,999047,13.8145571
481,3324861,15.01693843
687,720292,13.48741196
764,1186283,13.98633545
640,52618,10.87081355
636,59923,11.00081568
751,3361851,15.02800227
368,66314,11.10215632
914,43809,10.68759455
634,67602,11.12139285
739,41054,10.62264355
838,4779501,15.37984671
42,325016,12.69162969
82,83334,11.33061191
221,731551,13.50292222
633,86406,11.3668124
825,45157,10.71790059
54,256475,12.45478647
769,765595,13.54840859
109,3610564,15.09937455
602,305582,12.62997343
126,809327,13.60395832
419,429569,12.97053766
124,827918,13.62666939
205,2256913,14.62950851
784,291328,12.58220506
376,53018,10.87838676
355,89510,11.40210563
86,78049,11.26509211
148,223216,12.31589519
558,51867,10.85643803
826,42727,10.66258632
831,38262,10.55221252
60,204742,12.22950593
48,282662,12.55200712
290,6965706,15.75650952
9,2330813,14.66172769
711,182256,12.11316757
779,410131,12.9242319
555,55110,10.91708647
158,139767,11.84773203
478,4018035,15.20630354
387,2512572,14.73681749
55,248215,12.42205059
574,2299732,14.64830315
83,82779,11.32392969
80,90416,11.41217652
324,515522,13.15293526
469,47668,10.77201559
917,40647,10.61268031
468,48051,10.78001823
703,277206,12.53251619
661,3888096,15.17343014
729,57579,10.9609132
535,134827,11.81174775
919,38108,10.54817951
491,1386611,14.1423732
406,765259,13.54796962
666,2949944,14.89729675
828,41931,10.64378069
526,215203,12.27933705
582,1251725,14.04003316
41,326887,12.69736982
746,13918759,16.44874806
23,1110214,13.92006335
326,510878,13.14388609
32,503516,13.12937077
364,68897,11.14036791
245,229059,12.34173489
596,526073,13.17319527
550,63279,11.0553088
194,46411,10.74529178
543,90643,11.41468399
678,1179031,13.98020347
754,2397792,14.69005887
359,75704,11.23458628
330,330665,12.70886106
446,116851,11.6686549
567,3783341,15.14611804
839,4743184,15.372219199999998
836,6290806,15.65459976
575,2253717,14.62809141
554,55784,10.92924237
146,238257,12.3811052
5,3828994,15.15811266
641,49682,10.81339797
462,60935,11.017563
684,874967,13.68194145
95,51884,10.85676574
17,1712142,14.35325578
36,387409,12.86723626
848,2146766,14.57947308
706,264766,12.4866017
683,897548,13.70742188
143,317505,12.66824885
557,52144,10.8617644
128,681945,13.43270429
103,6246849,15.64758773
599,387794,12.86822955
495,1028384,13.8434992
607,223740,12.31823994
628,97777,11.49044465
918,39980,10.59613461
552,62454,11.04218556
382,3616250,15.10094814
303,2384782,14.68461827
516,347790,12.75935413
650,36335,10.50053674
598,416303,12.93916864
798,164372,12.00988743
572,2601529,14.77160991
799,142065,11.86403998
434,177601,12.08729474
717,137775,11.8333772
354,93005,11.44040853
882,210945,12.25935271
212,1202058,13.99954565
28,786257,13.57503899
181,58487,10.97655979
24,1101678,13.91234503
398,1634403,14.30678816
891,140396,11.85222228
64,151833,11.93053651
780,357902,12.78801448
349,109137,11.60035925
875,336074,12.72508665
38,360445,12.79509466
443,124112,11.72893966
892,138118,11.83586367
6,3247558,14.99341389
401,1201576,13.99914459
424,355913,12.7824416
696,474137,13.06925159
415,475309,13.0717204
184,55396,10.92226267
225,554784,13.22633413
203,2937941,14.89321955
714,169677,12.04165191
175,76343,11.24299162
763,1437648,14.178519
532,155368,11.95355178
123,962770,13.77756983
655,9224582,16.03738244
394,2070084,14.54309974
465,56108,10.93503368
422,383336,12.85666717
141,320166,12.67659489
288,7118592,15.77822051
527,203045,12.22118291
727,67368,11.11792541
853,1202394,13.99982513
864,662874,13.40434021
228,476665,13.07456922
629,97079,11.48328036
744,34795,10.45722898
325,513202,13.14842481
272,78253,11.26770245
819,57509,10.95969674
72,116444,11.66516575
171,87301,11.377117199999999
700,375312,12.83551296
657,5447826,15.51072719
332,288016,12.57077131
531,166252,12.02125999
282,55765,10.92890171
627,99952,11.51244535
899,102715,11.53971344
894,133373,11.80090499
96,46589,10.74911974
59,212154,12.26506771
723,86784,11.37117755
209,1328394,14.09948125
694,485056,13.09201963
300,2601734,14.771688699999999
500,814587,13.61043652
174,77621,11.25959329
851,1444952,14.18358666
616,169330,12.03960475
774,563114,13.24123737
874,387342,12.8670633
698,450374,13.01783363
385,2735719,14.82190485
533,154966,11.95096102
102,7055074,15.76925763
520,323628,12.68734999
49,268255,12.4996933
606,229005,12.34149912
301,2594028,14.76872244
122,984265,13.79965045
920,37282,10.52626592
89,73549,11.20570713
759,1754375,14.37762323
14,1872677,14.44287952
615,174223,12.06809137
720,107087,11.58139687
923,31888,10.36998504
900,101913,11.53187479
31,519983,13.161551399999999
479,4012889,15.20502199
232,405792,12.91359599
913,56087,10.93465934
589,661965,13.40296796
824,48942,10.7983912
253,169257,12.03917355
600,335906,12.72458664
132,550728,13.21899632
451,98660,11.49943487
560,47088,10.75977347
623,111541,11.62214752
716,154297,11.9466346
47,283292,12.55423345
475,5636259,15.54473111
361,69881,11.15454907
104,6126488,15.62813222
568,3510017,15.07113144
489,1721757,14.35885584
807,101694,11.52972358
202,3317196,15.01463041
447,115561,11.65755381
502,590036,13.28793883
898,103199,11.54441444
897,114796,11.65091192
490,1468301,14.19961651
457,72849,11.19614408
250,175146,12.07337519
466,53779,10.89263834
450,100021,11.51313544
496,946547,13.76057591
178,63073,11.05204806
137,399667,12.89838698
409,668576,13.41290536
797,172212,12.05648155
420,427764,12.96632692
921,34723,10.45515757
793,193484,12.1729501
515,354601,12.77874849
427,324420,12.68979425
339,151360,11.92741638
504,511931,13.14594513
701,315010,12.66035966
493,1373316,14.13273881
91,61664,11.02945557
772,656492,13.39466579
859,965624,13.780529800000002
860,958775,13.77341171
432,201365,12.21287446
788,256202,12.45372147
803,104950,11.56123933
369,65145,11.08437083
50,266389,12.49271293
57,219678,12.29991812
707,217444,12.28969663
790,202756,12.21975856
164,108551,11.59497539
239,289645,12.57641131
377,7817446,15.87186846
309,1124815,13.93312914
410,646195,13.37885659
571,2672552,14.79854438
455,78930,11.27631666
26,955149,13.76962263
656,6584915,15.70029198
449,102170,11.53439337
537,118985,11.68675271
845,2464978,14.71769344
886,181400,12.10845982
815,76746,11.24825655
653,35436,10.47548353
328,384789,12.86045041
315,820995,13.6182723
668,2524086,14.74138957
81,85200,11.35275671
130,616481,13.33178278
915,42914,10.66695339
809,94119,11.45231522
173,79840,11.28777991
217,1061412,13.87511066
431,232016,12.35456161
597,506182,13.13465157
256,144827,11.88329521
773,575353,13.26273904
659,5293435,15.48197793
734,46913,10.7560501
190,50196,10.82369062
829,41525,10.63405093
278,60977,11.01825202
365,67027,11.1128508
506,487897,13.0978596
792,197134,12.19163898
138,391760,12.87840469
503,535084,13.19017902
467,49479,10.80930362
166,100523,11.51814184
854,1176076,13.97769403
463,58384,10.97479716
499,821419,13.61878861
243,234746,12.36625936
879,277319,12.53292375
262,115704,11.65879048
635,64405,11.07294655
327,507508,13.13726775
429,272736,12.51625957
625,108344,11.59306663
255,146338,11.89367429
536,125402,11.73927986
305,1898121,14.45637501
213,1168268,13.97103287
344,129774,11.77354976
691,527331,13.17558371
120,1124918,13.9332207
389,2420729,14.69957929
483,2788732,14.84109757
487,1934192,14.47520023
373,55355,10.92152227
692,513767,13.14952513
802,116059,11.66185396
534,137052,11.82811569
314,921317,13.73355945
844,2526118,14.74219429
296,3100113,14.94694912
11,2192172,14.60040339
412,536597,13.19300263
280,56866,10.948452900000001
658,5440186,15.50932381
1,8911437,16.00284607
75,111005,11.61733052
470,12099614,16.30868411
139,346483,12.75558903
403,1085087,13.89717073
149,214284,12.27505752
160,120802,11.70190812
770,686809,13.43981151
820,54410,10.90430324
843,2917213,14.88613927
841,3678156,15.1179221
586,990104,13.80556527
229,446664,13.00956191
438,148760,11.91008955
638,55804,10.92960083
244,234539,12.36537716
748,8271797,15.92836233
153,161382,11.9915295
756,1949372,14.48301783
866,645082,13.37713272
742,37241,10.52516558
528,175889,12.07760839
74,113526,11.63978716
176,66075,11.09854574
338,160860,11.9882897
